,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
6148,1.0,1.0,1.0,1.0,1.0,1.0,Gulberg Residencia,Gulberg Residencia,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4031,1.0,2.0,1.0,0.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
1222,3.0,4.0,3.0,1.0,1.0,1.0,H-13,H-13,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
1783,2.0,6.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,1.0,1.0,3.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
1550,2.0,3.0,2.0,1.0,1.0,1.0,National Police Foundation O-9,National Police Foundation O-9,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6333,1.0,3.0,1.0,1.0,1.0,1.0,Residency,DHA Phase 2,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
696,3.0,6.0,3.0,0.0,1.0,1.0,Top City 1,Top City 1,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
5590,1.0,3.0,1.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,2.0,3.0,4.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
2241,1.0,3.0,1.0,1.0,1.0,1.0,Kazani Heights,Islamabad Expressway,0,4.0,4.0,4.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
3161,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,2.0,2.0,9.0,0.0,Future,Lower Floors,Mid Rise Core,Dual Setup
6017,3.0,10.0,3.0,1.0,3.0,2.0,Gulberg Business Square,Gulberg Greens,0,4.0,3.0,2.0,5.0,1.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
1191,1.0,3.0,1.0,1.0,1.0,0.0,Gulberg Greens,Gulberg Greens,0,1.0,4.0,2.0,11.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3257,4.0,7.0,4.0,1.0,1.0,1.0,I-16,I-16,1,2.0,1.0,2.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Dual Setup
1884,2.0,6.0,2.0,2.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,0,1.0,1.0,1.0,11.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4162,1.0,4.0,1.0,1.0,2.0,1.0,New Blue Area,New Blue Area,0,2.0,6.0,1.0,15.0,1.0,Recently Built,Mid-Level,High Rise,Single/None
3240,2.0,8.0,2.0,0.0,1.0,0.0,G-11,G-11,0,1.0,6.0,4.0,6.0,0.0,Modern Era,Mid-Level,Mid Rise Core,Multiple Bank
1578,5.0,19.0,4.0,1.0,2.0,2.0,Karakoram Greens,Gulberg Greens,0,4.0,13.0,8.0,22.0,0.0,Brand New (2025),High-Rise,High Rise,High-Capacity
3419,2.0,2.0,2.0,1.0,1.0,1.0,Islamabad,Murree Expressway,0,1.0,1.0,3.0,10.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
494,2.0,8.0,2.0,1.0,1.0,1.0,Goldcrest Views,DHA Phase 2,0,1.0,21.0,6.0,40.0,0.0,Future,High-Rise,Skyscarper,High-Capacity
5099,3.0,7.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
2514,2.0,4.0,2.0,1.0,1.0,1.0,Faisal Town,Faisal Town Phase 1,0,1.0,4.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
1496,2.0,5.0,2.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,1.0,2.0,2.0,2.0,0.0,Recently Built,Lower Floors,Lower Levels,Dual Setup
5182,2.0,4.0,2.0,1.0,1.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,0,1.0,1.0,2.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
817,2.0,4.0,2.0,1.0,1.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,0,1.0,4.0,1.0,6.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
550,2.0,5.0,2.0,1.0,1.0,0.0,MPCHS,MPCHS - Multi Gardens,0,2.0,1.0,1.0,5.0,0.0,Future,Ground/First Floor,Mid Rise Core,Single/None
4552,1.0,2.0,1.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,3.0,1.0,7.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
5586,2.0,4.0,2.0,1.0,1.0,1.0,I-16,I-16,0,4.0,4.0,2.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2955,2.0,4.0,2.0,0.0,1.0,0.0,Faisal Margalla City,B-17,0,2.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5106,2.0,3.0,2.0,1.0,1.0,1.0,G-11,G-11,0,2.0,3.0,2.0,4.0,0.0,Recently Built,Lower Floors,Lower Levels,Dual Setup
6329,1.0,3.0,1.0,1.0,1.0,1.0,Residency,DHA Phase 2,1,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
2412,4.0,10.0,3.0,1.0,1.0,1.0,Askari Heights 4,DHA Phase 5,1,1.0,6.0,1.0,12.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,Single/None
4257,5.0,17.0,4.0,1.0,1.0,1.0,Zarkon Heights,G-15,1,1.0,3.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2765,3.0,9.0,3.0,1.0,1.0,1.0,Minara Residence,GT Road,0,2.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
2328,2.0,6.0,2.0,1.0,1.0,0.0,Mall of Islamabad,Blue Area,0,1.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
53,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,2.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
4454,2.0,5.0,2.0,1.0,1.0,1.0,Zarkon Heights,G-15,1,1.0,3.0,2.0,9.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
1139,1.0,3.0,1.0,1.0,1.0,1.0,Kashmir Highway,Kashmir Highway,0,2.0,3.0,4.0,10.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
1176,1.0,3.0,1.0,1.0,2.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3329,1.0,3.0,1.0,1.0,1.0,1.0,Top City 1,Top City 1,1,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3213,2.0,4.0,2.0,1.0,1.0,1.0,F-17,F-17,0,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
500,1.0,2.0,1.0,1.0,1.0,1.0,E-11,E-11,0,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1312,2.0,3.0,2.0,1.0,1.0,1.0,CBR Town Phase 1,CBR Town Phase 1,1,1.0,1.0,2.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
3121,2.0,7.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2278,2.0,8.0,2.0,1.0,1.0,1.0,Islamabad Heights,G-15,0,2.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
6411,1.0,4.0,1.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,1.0,6.0,2.0,12.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,Dual Setup
2351,2.0,5.0,2.0,0.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,0,1.0,1.0,1.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4008,2.0,3.0,2.0,1.0,1.0,1.0,D-17,D-17,0,1.0,2.0,1.0,2.0,0.0,Modern Era,Lower Floors,Lower Levels,Single/None
3029,2.0,3.0,2.0,0.0,1.0,0.0,Gulberg Greens,Gulberg Greens,0,1.0,5.0,2.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
4585,3.0,7.0,2.0,0.0,2.0,1.0,DHA Phase 1,DHA Phase 1,0,2.0,1.0,2.0,7.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
594,3.0,7.0,3.0,1.0,1.0,1.0,I-16,I-16,0,2.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2640,1.0,3.0,1.0,1.0,1.0,1.0,Top City 1,Top City 1,0,4.0,1.0,1.0,1.0,0.0,Future,Ground/First Floor,Ground/Flat,Single/None
2030,1.0,4.0,1.0,1.0,1.0,1.0,Gulberg Heights,Gulberg Greens,1,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4513,3.0,10.0,3.0,1.0,1.0,1.0,The Royal Mall and Residency,Bahria Enclave,0,1.0,2.0,9.0,8.0,0.0,Recently Built,Lower Floors,Mid Rise Core,High-Capacity
2300,2.0,6.0,2.0,2.0,2.0,1.0,H-13,H-13,0,4.0,1.0,1.0,7.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
750,2.0,3.0,2.0,1.0,1.0,1.0,G-15,G-15,0,1.0,1.0,1.0,6.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5284,2.0,7.0,2.0,1.0,1.0,1.0,G-11,G-11,0,1.0,7.0,3.0,14.0,0.0,Recently Built,Mid-Level,High Rise,Multiple Bank
2359,1.0,2.0,1.0,0.0,1.0,0.0,Faisal Town,Faisal Town Phase 1,0,1.0,1.0,2.0,2.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
1715,1.0,4.0,1.0,1.0,1.0,1.0,Eighteen,Kashmir Highway,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
400,2.0,6.0,2.0,0.0,2.0,1.0,F-11,F-11,0,1.0,1.0,1.0,9.0,1.0,Future,Ground/First Floor,Mid Rise Core,Single/None
6157,1.0,2.0,1.0,0.0,1.0,0.0,Bahria Enclave,Bahria Town,0,1.0,2.0,1.0,3.0,0.0,Brand New (2025),Lower Floors,Lower Levels,Single/None
4587,3.0,8.0,3.0,1.0,1.0,1.0,G-11,G-11,0,1.0,2.0,2.0,6.0,1.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
592,2.0,3.0,2.0,1.0,1.0,1.0,G-11,G-11,1,1.0,1.0,3.0,3.0,0.0,Established,Ground/First Floor,Lower Levels,Multiple Bank
