,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Storey Unit,Main Location,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Property era
906,5.0,7.0,5.0,1.0,2.0,1.0,2.0,D-12,False,False,False,False,0,Brand New (2025)
3379,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
2094,4.0,5.0,3.0,1.0,2.0,1.0,2.0,MPCHS - Multi Gardens,True,False,False,True,0,Brand New (2025)
218,6.0,14.0,6.0,1.0,1.0,1.0,2.0,G-9,True,False,False,False,0,Brand New (2025)
3455,5.0,4.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,0,Brand New (2025)
2530,4.0,6.0,4.0,1.0,1.0,1.0,1.0,Soan Garden,False,False,False,False,0,Recently Built
5496,6.0,12.0,6.0,1.0,2.0,2.0,2.0,I-8,False,False,False,False,0,Established
3558,6.0,12.0,6.0,1.0,1.0,1.0,1.0,PWD Housing Scheme,True,False,False,False,1,Brand New (2025)
889,6.0,10.0,6.0,2.0,2.0,2.0,2.0,D-12,False,False,False,False,0,Brand New (2025)
4456,6.0,20.0,7.0,1.0,2.0,1.0,2.0,DHA Phase 5,False,False,False,False,1,Brand New (2025)
1344,4.0,4.0,3.0,1.0,1.0,1.0,2.0,D-12,False,False,True,False,1,Brand New (2025)
4757,4.0,7.0,5.0,1.0,2.0,1.0,2.0,D-17,True,True,True,False,0,Modern Era
798,5.0,7.0,4.0,1.0,2.0,1.0,3.0,FECHS,False,False,False,False,0,Brand New (2025)
4632,4.0,5.0,1.0,1.0,1.0,1.0,1.0,Mumtaz City,True,False,False,False,1,Recently Built
2279,6.0,7.0,5.0,1.0,2.0,1.0,2.0,FECHS,False,False,False,False,0,Brand New (2025)
3474,4.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,True,False,0,Brand New (2025)
3164,6.0,20.0,5.0,2.0,2.0,1.0,1.0,DHA Phase 2,False,False,False,False,0,Brand New (2025)
4450,5.0,18.0,5.0,1.0,1.0,1.0,2.0,F-6,False,False,False,False,1,Recently Built
6205,6.0,20.0,5.0,2.0,2.0,1.0,2.0,F-8,False,False,False,False,1,Recently Built
883,3.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,True,False,False,False,0,Brand New (2025)
1945,4.0,6.0,4.0,1.0,2.0,1.0,2.0,B-17,False,False,False,False,0,Recently Built
3654,5.0,12.0,5.0,1.0,2.0,1.0,2.0,G-8,True,False,False,False,0,Established
920,6.0,20.0,6.0,1.0,2.0,1.0,2.0,Park Enclave,True,False,False,False,0,Recently Built
3765,6.0,20.0,5.0,2.0,2.0,1.0,2.0,DHA Phase 5,False,False,False,False,1,Brand New (2025)
5737,5.0,8.0,5.0,1.0,1.0,1.0,1.0,Mumtaz City,False,False,False,False,0,Recently Built
5595,6.0,22.0,6.0,1.0,2.0,1.0,2.0,F-10,True,False,False,False,0,Recently Built
1055,5.0,10.0,5.0,1.0,2.0,1.0,2.0,Bahria Town,True,False,False,False,0,Brand New (2025)
915,6.0,8.0,7.0,1.0,1.0,1.0,2.0,B-17,False,False,False,False,0,Brand New (2025)
6409,6.0,20.0,5.0,2.0,2.0,2.0,2.0,DHA Phase 2,False,False,False,False,0,Recently Built
3806,6.0,8.0,6.0,1.0,2.0,1.0,2.0,DHA Phase 1,False,False,False,False,0,Brand New (2025)
5798,6.0,20.0,9.0,2.0,3.0,3.0,3.0,E-11,False,False,False,False,0,Brand New (2025)
3255,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
1590,5.0,20.0,6.0,1.0,2.0,1.0,1.0,MPCHS - Multi Gardens,False,True,False,False,0,Brand New (2025)
4280,6.0,20.0,5.0,2.0,2.0,2.0,2.0,DHA Phase 2,True,False,False,False,0,Recently Built
60,4.0,5.0,4.0,1.0,2.0,1.0,2.0,DHA Phase 2,True,False,False,False,0,Modern Era
6304,7.0,10.0,5.0,1.0,2.0,1.0,2.0,DHA Phase 5,False,False,False,False,0,Brand New (2025)
2593,4.0,8.0,3.0,1.0,1.0,1.0,2.0,FECHS,False,False,False,False,0,Brand New (2025)
1338,6.0,36.0,6.0,2.0,2.0,2.0,3.0,DHA Phase 2,True,True,False,False,0,Recently Built
3939,6.0,9.0,5.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
6025,5.0,10.0,4.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,1,Brand New (2025)
4018,7.0,20.0,6.0,1.0,2.0,1.0,1.0,National Police Foundation O-9,False,False,True,False,0,Brand New (2025)
1076,6.0,7.0,5.0,1.0,2.0,1.0,2.0,B-17,False,False,False,False,1,Brand New (2025)
2550,6.0,20.0,9.0,2.0,3.0,2.0,2.0,DHA Phase 2,True,True,False,False,0,Recently Built
3942,6.0,14.0,6.0,1.0,2.0,1.0,2.0,G-11,False,False,False,False,0,Brand New (2025)
2813,4.0,14.0,4.0,1.0,1.0,1.0,2.0,G-9,False,False,False,False,0,Modern Era
