,Price(Cr)
906,9.75
3379,4.5
2094,2.6
218,8.85
3455,3.5
2530,2.5
5496,10.75
3558,6.1
889,13.0
4456,7.7
1344,4.25
4757,2.5
798,2.75
4632,2.35
2279,2.95
3474,3.65
3164,11.5
4450,22.0
6205,28.0
883,2.45
1945,1.95
3654,11.5
920,16.0
3765,14.0
5737,2.8
5595,21.0
1055,4.45
915,3.1
6409,10.9
3806,4.8
5798,15.0
3255,13.9
1590,9.5
4280,10.9
60,3.5
6304,5.25
2593,2.5
1338,26.0
3939,4.0
6025,4.8
4018,6.0
1076,3.3
2550,12.75
3942,10.5
2813,9.15
3846,5.3
3946,8.55
3157,8.55
4061,1.9
1205,47.0
3562,6.4
3027,1.58
4064,5.85
4224,1.95
2472,3.3
4752,2.5
6313,30.0
1551,3.65
6214,6.1
3270,4.5
3649,3.3
4076,5.7
6124,2.65
5628,2.3
5086,5.25
3493,5.75
1934,3.2
2197,18.0
5253,8.5
3705,2.35
4768,2.3
4361,15.0
6026,4.4
2984,37.5
2709,6.5
2459,70.0
2476,13.95
2020,2.58
5337,4.15
4459,3.5
2389,13.0
1265,13.5
1345,17.5
2852,17.0
1435,2.35
1946,9.5
5893,3.1
1593,16.5
1632,3.7
2569,4.5
3460,5.15
273,1.52
4791,4.5
5805,22.5
76,1.5
1755,1.45
3452,4.5
5394,2.35
6382,11.9
2299,3.3
1096,11.65
3505,4.35
2331,4.7
1564,2.4
2305,5.4
3886,4.35
3409,3.35
5070,2.4
6353,4.65
843,9.8
3278,12.25
2479,1.35
3114,11.9
1364,4.1
1566,2.7
246,34.0
1365,16.5
5578,36.0
4492,5.3
2919,3.9
6319,35.0
4619,3.9
4420,2.7
5061,9.75
291,11.5
3614,3.75
780,5.4
2312,1.6
5478,2.5
2071,4.6
4749,2.68
1001,32.0
3450,5.65
2554,8.5
4563,18.5
6262,10.2
850,9.0
3336,2.9
2065,5.49
4891,2.15
3430,13.5
1501,4.49
271,10.75
3904,3.25
822,5.7
450,41.0
867,29.0
303,1.75
2425,3.2
1355,11.0
5493,2.15
5521,9.35
5972,1.7
151,13.95
3918,3.5
1576,3.1
4661,5.75
295,2.5
5624,15.45
2898,15.0
2998,26.5
695,13.0
5335,3.6
3495,4.1
6131,6.4
5905,2.2
5656,2.4
2589,1.4
4779,3.6
2546,3.25
5016,2.4
5564,18.5
522,8.9
184,5.75
1636,8.3
3389,4.0
1660,1.9
4876,14.0
3354,7.1
4111,2.5
1524,1.45
5686,11.0
28,7.0
3245,18.5
3375,2.5
4804,45.0
999,2.4
4924,3.9
622,5.4
4313,6.0
676,45.0
1546,9.0
121,5.9
3362,1.3
4437,3.6
6456,3.9
399,23.5
2557,1.85
3571,2.25
2694,2.5
787,13.0
5326,7.1
2886,2.75
1245,2.5
778,4.0
2010,2.25
5545,7.7
3744,3.85
2712,4.0
5307,2.75
5392,6.5
4777,10.5
5249,3.65
6430,6.15
3034,50.0
4405,23.0
5993,29.0
2701,4.6
6394,3.9
2090,3.35
3642,8.5
2309,4.8
1366,12.0
3749,2.85
1118,5.4
3415,4.45
5610,8.0
4235,8.2
3590,2.8
167,3.8
1290,5.75
4823,6.8
984,4.75
4380,4.5
4217,4.7
3053,11.95
611,7.25
1133,22.0
5689,7.85
3644,7.5
2822,2.6
4948,8.5
5825,7.0
5081,70.0
2095,6.0
5345,3.5
377,3.5
1121,12.9
765,8.5
767,0.75
3124,7.25
5828,4.55
2487,19.0
6043,10.5
509,3.6
3064,5.7
3891,8.75
5289,15.25
4702,3.0
2236,10.0
933,2.25
2778,4.25
5852,8.5
6238,3.0
2904,2.0
162,0.8
3623,2.5
3314,13.95
226,6.65
3883,2.0
2401,55.0
1204,5.9
2073,1.3
3126,13.5
1392,16.0
1370,4.3
678,3.2
3223,9.75
471,1.6
3108,2.5
6146,2.7
3948,5.7
3311,4.5
1987,4.5
4134,2.3
528,3.5
5870,1.1
5743,3.8
2992,8.5
5076,40.0
4122,5.8
4908,11.0
2022,3.6
5274,3.3
1107,6.4
1873,3.3
4231,16.0
2240,2.7
6072,15.0
5341,8.9
729,8.25
2083,6.7
1797,12.75
4581,6.7
642,9.75
2489,2.9
1824,0.695
526,1.95
5429,1.15
382,4.8
4412,3.0
2711,2.2
3729,3.0
4448,11.2
2229,18.0
604,3.3
4107,34.75
2451,23.0
6216,16.5
2814,55.0
2588,1.16
6444,0.75
4088,24.5
1223,13.5
6442,0.35
4338,1.35
120,5.5
3535,5.5
3410,8.4
3526,5.25
3127,60.0
6285,7.5
3448,3.28
1241,18.0
3065,2.5
102,2.6
1369,2.35
258,2.34
4978,4.9
5700,35.0
1151,22.7
4005,7.5
3195,4.2
3364,0.75
5262,8.0
298,12.8
2692,9.5
1495,10.7
4657,9.0
5930,7.15
2350,13.9
3745,10.5
3015,3.8
3290,14.0
626,30.0
574,3.85
1648,33.0
6020,65.0
250,2.5
141,4.15
4989,10.5
5636,7.3
2648,3.5
4511,7.0
806,3.25
5508,14.5
2859,3.8
2602,6.0
3557,3.0
5916,3.8
3081,3.35
5731,2.45
2654,1.4
5145,13.5
2360,5.85
4012,0.99
2568,16.0
2710,1.45
4065,5.75
5965,11.5
2879,3.3
6291,1.3
1006,4.25
3606,28.0
3741,13.0
5742,3.15
1432,2.35
681,5.0
2871,4.7
6446,2.0
5446,8.9
3600,1.8
3808,4.25
1799,15.0
4021,2.5
3563,4.85
276,1.2
1500,6.3
6364,1.6
1306,4.3
2134,7.55
3051,11.9
3112,27.0
944,11.5
2402,17.0
1053,11.0
5949,4.3
5681,5.15
2598,5.0
6201,8.5
4468,16.0
1746,2.85
748,3.5
4835,2.6
862,4.3
4228,2.7
3237,2.9
2901,11.5
1417,2.3
2830,27.0
5957,1.1
760,9.5
4896,6.0
1098,13.5
6303,1.35
2563,7.5
2461,6.85
4091,8.0
4409,23.0
5770,12.0
6181,10.0
623,3.3
169,9.5
4660,5.35
4392,27.0
1813,16.5
1173,18.0
2069,3.6
2038,5.25
137,11.0
5954,2.8
2338,28.0
2442,4.9
2665,8.65
1872,25.0
6224,3.25
5119,8.3
5920,1.35
1597,3.6
4864,2.4
4963,9.95
2245,13.5
5423,8.5
5054,6.85
1969,11.5
3008,10.45
6280,4.8
5241,2.1
1418,2.4
672,19.5
3873,8.55
5002,7.3
4986,3.75
4805,19.0
5276,5.0
552,9.15
921,11.9
3269,3.3
4840,3.95
2201,2.9
6136,12.8
1452,2.15
406,2.25
6478,12.0
946,4.5
3645,3.2
4795,2.5
6151,2.9
3210,3.0
6137,2.25
5038,35.0
5313,3.95
5868,0.65
3404,2.75
3670,2.35
3177,9.5
4270,12.85
1225,4.4
790,2.35
2853,7.9
125,2.45
4000,5.35
4248,19.0
3675,7.5
3037,4.25
1727,2.5
3095,1.95
1596,4.4
5904,3.25
5108,9.5
3747,4.1
3234,5.5
3581,0.47
4143,2.8
5409,11.5
5525,2.0
1517,3.2
5448,24.0
3125,3.5
1304,3.45
2155,6.0
3916,4.7
308,7.5
2873,7.7
3199,13.5
1635,8.7
4342,63.0
2677,4.3
4597,10.75
219,30.0
3820,1.35
4718,11.0
337,5.25
3655,10.0
6099,4.5
3978,0.78
2661,3.3
2689,6.5
3322,4.4
6239,6.5
1354,10.9
5982,22.0
3145,17.6
5128,13.5
2524,2.5
5024,55.0
3952,5.0
3076,3.65
5374,1.65
3701,8.5
3757,4.9
2774,9.0
1577,0.78
5408,2.7
2194,7.5
5849,3.5
3317,6.2
1703,4.29
3102,2.85
2143,2.55
858,9.5
967,45.0
52,4.5
813,5.8
3980,2.1
3215,1.65
3320,4.9
319,6.5
1621,3.5
1948,8.5
6422,3.65
3546,13.5
2906,2.05
3002,9.75
2129,8.95
362,5.0
6360,1.35
6188,65.0
5956,2.5
2508,0.75
4706,0.38
2562,3.9
4444,7.5
1203,11.65
2764,2.5
5221,3.0
4601,16.0
5057,19.0
3107,12.8
492,9.4
521,66.0
2388,11.0
1067,1.3
157,2.9
5960,7.5
709,39.0
4920,11.9
3261,2.35
744,3.2
3691,3.9
4258,2.35
4814,12.3
3383,3.2
1123,4.0
5823,10.25
3621,8.5
4357,1.8
2616,18.0
5436,3.22
5663,7.0
4156,2.3
3471,5.85
3167,13.95
4182,5.05
4381,5.7
3149,5.5
4792,4.7
4028,19.0
1850,4.6
3812,4.3
6074,8.5
5515,42.0
3381,5.5
1624,16.5
900,5.5
505,5.25
1897,1.12
5298,35.0
2322,2.45
5795,7.5
3498,15.5
1414,4.0
5780,2.19
6378,12.0
2093,3.25
5847,8.0
3321,2.2
1322,2.4
4161,4.75
907,12.25
3506,3.1
4525,20.0
3615,4.7
5248,3.65
2167,3.6
3118,8.0
159,2.2
5644,25.0
2207,26.0
1795,2.7
5314,14.5
1662,0.65
4212,13.0
74,12.75
5472,2.8
6398,2.35
2576,3.95
3892,5.9
3437,3.1
4387,4.75
1011,14.25
1582,4.75
3901,12.5
2026,4.1
96,33.0
2851,16.0
3456,3.6
2613,4.75
1056,6.0
3168,11.5
1446,41.0
1720,23.0
1622,16.5
1806,5.25
3898,14.0
6408,16.5
1436,2.6
2340,75.0
6187,55.0
2705,5.4
3601,3.6
6467,5.5
3878,14.9
650,75.0
1594,7.5
5678,15.5
929,2.65
2301,25.0
3880,12.5
5896,12.0
905,11.0
961,28.5
1820,40.0
711,2.85
2353,14.9
5801,16.0
2162,13.75
5799,16.0
6325,6.5
61,14.5
4923,10.5
3337,3.3
1244,4.5
1553,3.8
1025,3.5
2473,2.7
2469,3.85
3865,5.3
4803,38.5
6450,4.9
6347,12.5
5442,0.69
6120,14.0
2046,8.5
4199,3.1
2063,3.7
1726,2.8
2076,16.5
4194,4.9
2669,39.5
2184,2.65
3507,5.2
5926,8.35
3882,21.0
4558,0.75
4117,5.5
1875,42.0
507,16.5
5881,7.0
2496,4.0
2130,11.25
3545,27.0
2486,2.08
1701,2.65
4670,8.0
5351,3.1
3951,18.0
2843,5.25
1984,4.6
2704,11.5
1126,13.9
6098,4.5
193,10.75
1132,4.7
464,3.3
4526,6.95
1019,2.35
5475,1.6
6222,3.4
5302,23.5
5745,5.25
3289,13.0
602,18.5
3669,4.1
1444,45.0
1293,10.9
4850,15.0
4300,13.75
5975,4.4
6001,13.5
437,0.6
6046,2.75
5322,4.6
948,23.0
1696,6.5
2885,20.0
6219,3.4
3171,9.95
4959,6.6
1389,3.5
2991,3.15
3188,9.5
3627,1.5
4247,6.0
439,75.0
5720,3.85
6145,3.95
1332,1.56
4582,7.85
2421,16.0
5009,2.45
1177,4.3
3721,18.5
1980,2.5
5501,4.0
5600,3.5
1440,5.6
24,75.0
2441,9.5
2481,3.85
724,10.5
4540,2.45
4083,2.25
986,3.75
4085,3.0
2396,7.65
5354,4.1
5562,4.3
1451,3.6
5783,12.7
1935,6.5
2492,2.2
2976,1.5
1907,4.2
2959,3.9
4232,13.5
499,0.38
4532,4.3
1422,5.5
4214,3.85
4983,4.0
4369,11.5
5003,6.4
1647,2.95
1730,4.5
119,12.5
2247,38.5
5246,2.7
2037,4.5
5021,14.5
1459,3.0
176,5.8
1999,6.25
5022,6.25
3407,3.25
1296,4.8
5759,4.9
1986,14.0
443,4.25
2475,12.75
4289,2.6
1921,3.85
5296,33.0
6019,0.72
1751,4.75
5481,4.25
5558,4.8
5647,9.0
1804,18.0
380,3.1
719,3.65
5362,15.45
1790,3.9
5661,4.0
4433,1.8
6014,2.5
4691,2.5
1530,8.5
3207,2.5
398,12.0
3905,3.5
1919,6.0
1400,25.0
4277,1.2
3449,4.0
3858,4.85
891,5.95
5424,3.0
2584,36.0
5598,11.0
4421,6.25
2733,4.7
2346,3.8
2468,1.95
3265,9.75
3003,4.65
2900,18.0
1904,4.75
2982,55.0
836,2.35
2535,7.75
4094,1.5
3799,5.2
4991,38.0
1247,2.75
2673,45.0
2428,72.0
2967,25.0
374,6.5
903,6.6
434,3.2
6104,3.35
2136,4.0
2180,0.85
3038,5.5
4802,26.5
6315,55.0
3147,13.0
5766,5.9
5270,0.93
5888,3.1
4195,4.7
2989,26.0
6354,4.4
738,2.6
3961,14.5
4674,2.45
551,2.35
5237,3.9
2261,13.9
6466,8.5
543,8.7
3559,3.3
4967,2.5
1363,1.98
4993,7.25
4663,5.8
3186,3.6
5358,4.0
3067,3.55
774,14.0
4984,3.9
914,6.2
1848,2.6
244,6.85
4787,3.2
3465,5.8
6011,41.0
2668,9.5
2126,4.9
2281,2.65
1852,2.3
879,16.0
2542,1.75
3248,16.0
1382,6.0
5330,0.55
3686,2.7
598,12.5
3073,6.3
5727,14.45
2938,3.6
214,6.8
2591,7.5
5308,3.95
