,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
7,Diplomatic Enclave,Diplomatic Enclave,7.2,2.0,6.5,2.0,"Luxurious 2-Bedroom Semi-Furnished Apartment for Sale in Diplomatic Enclave, Islamabad ## Location Diplomatic Enclave, Islamabad (prestigious and secure neighborhood) Details - 2 spacious bedrooms - Semi-furnished with modern fixtures and amenities - Newly renovated with high-quality finishes - Secure building with 24/7 security Features - Prime location with easy access to key areas - Modern amenities and facilities - Peaceful and serene environment - Excellent investment opportunity Ideal for Those seeking a luxurious and secure lifestyle in a prime location. Contact us for more information or to schedule a viewing. Own a piece of luxury in Islamabad's most sought-after neighborhood!",0,1.0,1.0,1.0,11.0,,1.0,,1.1076923076923078,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
8,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,13.25,4.0,11.8,3.0,"Luxurious 3-Bedroom Fully Furnished Corner Apartment for Sale in Karakoram Diplomatic Enclave Location Karakoram Diplomatic Enclave (prestigious and secure neighborhood) Details - 3 spacious bedrooms - 2660 sqft living area - Two-side corner apartment with stunning hill views - Fully furnished with modern fixtures and amenities Features - Secure and serene environment - Prime location with scenic views - Luxurious living experience with high-end finishes - Ideal for diplomats, expats, or high-end residents Rental Value 2500-3000 USD Contact us for more information or to schedule a viewing. Own a luxurious, fully furnished corner apartment with breathtaking views!",1,1.0,1.0,1.0,11.0,,,,1.1228813559322033,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
9,Diplomatic Enclave,Diplomatic Enclave,5.4,3.0,7.3,3.0,"Details - 3 spacious bedrooms with modern amenities - Covered area: 1650 sq ft - Lower ground floor - Fully furnished for ultimate comfort and convenience Coming Rent $1800 per month Sale Details - City transfer property - Demand: PKR 55 million Why Diplomatic Enclave? - Gated community with 24/7 security - Prestigious address in Islamabad's most sought-after neighborhood - Close proximity to diplomatic missions, international organizations, and key amenities - Peaceful and serene environment Ideal for Diplomats, expats, or high-profile individuals seeking a luxurious and secure lifestyle. Schedule a viewing today! Don't miss this opportunity to experience the epitome of luxury living in Islamabad's most desirable neighborhood.",1,1.0,1.0,1.0,11.0,,1.0,1.0,0.7397260273972603,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
15,Cube Apartments,Bahria Enclave,1.04,2.0,5.0,1.0,Cube Apartment One Bedroom Apartment Beautiful Terrace View Car Parking Peaceful Environment Attractive and Splendid Views All Living Facilities and Amenities are Available Secure Living Standards 24 7 Power Supply and Many More Come and avail this opportunity because all basic requirements are available at your door step Contact us for More Details,0,1.0,2.0,4.0,10.0,1.0,1.0,1.0,0.20800000000000002,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
17,The Centaurus,F-8,5.75,1.0,3.9,1.0,"Note: Dealers and intermediaries are requested not to contact. This property is available only for direct buyers or genuine end users. Only serious inquiries will be entertained. Demand Pkr. 57,500,000/- Area: 882 SQ. FT. Beautiful View of Islamabad Lush Greenery Fully Furnished Rental value: PKR. 280,000 to PKR 300,000 per Month Facilities Include. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,1.0,,1.0,,1.4743589743589745,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
19,Gulberg Greens,Gulberg Greens,1.15,1.0,2.4,1.0,"ghousing societies in Rawalpindi and Islamabad, But the beautiful location of Gulberg Islamabad is as beautiful as Islamabad . It is just 15 minutes drive from gulberg to other parts of Islamabad ,and 10 minutes drive towards airport and 5 minutes drive to G. T road . Gulberg green and Gulberg residential were a beautiful dreams that becomes now a reality. In Gulberg knowledge village there are many schools, colleges and universities which are under constructions. 5 star hotels ,shopping malls are also under construction Gulberg Islamabad is a place, where yours dreams become true. The project was launched in 2005 and in 2009 its NOC from CDA was approved with Ref# CDA/PLW-HS(127)/2009/257. The MOU with IESCO and SNGPL were also duly signed. Development work Guon the project started in 2009.",0,1.0,1.0,2.0,7.0,,1.0,0.0,0.47916666666666663,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
32,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4656716417910447,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
33,The Centaurus,F-8,3.9,1.0,3.0,1.0,Studio Apartment available For Rent in the Centaurus Islamabad. Owner and His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.,0,1.0,37.0,4.0,37.0,0.0,1.0,,1.3,Recently Built,High-Rise,Skyscarper,Multiple Bank
36,Faisal Town Phase 1,Faisal Town Phase 1,1.05,2.0,5.8,2.0,2 Bed Apartment Available For Sale. In Faisal Town F-18 Islamabad. Apartment Size 1300 Sq Ft. 2 Bedrooms. 2 Baths. TV Lounge. Kitchen. Alavbility faisal town facing Margala facing Moterway facing Rental Value Rs 70 to 80 Close to Gate 2 Near to Park. Near to Masjid. Near to Markaz. All Facilities Available. Interested People Can Contact Easily.,0,1.0,8.0,5.0,17.0,1.0,1.0,1.0,0.1810344827586207,Recently Built,Mid-Level,High Rise,High-Capacity
50,Cube Apartments,Bahria Enclave,1.05,2.0,5.1,1.0,"Murree Facing 1 Bed Designer Apartment for Sale 1150sqft Apartments, Sector A , Bahria Enclave Islamabad Location: Cube Apartments, Sector A Bahria Enclave Islamabad Size: 1150 Bedroom: 1 Bathroom: 2(Attached, Modern Design) Lounge + Dining Open Style Kitchen View: Breathtaking Margalla Hills View Construction: Solid, Designer Finish Building Amenities: 24/7 Security & CCTV Surveillance Fast Elevators & Backup Generator Basement Car Parking Lobby & Reception Area Well-Maintained Common Areas Gated Community with Full Bahria Facilities Location Highlights: Located in Cube Apartments Walking Distance to Masjid, Park & Commercial Nearby Schools, Clinics, Grocery Stores & Restaurants Peaceful Neighborhood with Clean Surroundings Ideal For: End-users looking for modern and peaceful living Investors seeking strong rental yield and capital appreciation Small families, couples, students, or short-term rental income.",0,1.0,4.0,2.0,9.0,1.0,1.0,1.0,0.2058823529411765,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
53,Gulberg Greens,Gulberg Greens,0.7,1.0,3.3,1.0,"Luxury One Bedroom Apartment for Sale in Gulberg Greens, Islamabad Elevate your lifestyle in this stunning one-bedroom luxury apartment, perfectly situated in the prestigious Gulberg Greens community of Islamabad. This beautifully furnished residence offers a serene and sophisticated living experience, blending modern elegance with comfortable living. Spacious One Bedroom: Elegantly designed bedroom with large windows, ample natural light, and an attached bathroom with high-end fixtures. Luxurious Living Area: Open-plan living and dining area with designer finishes, perfect for entertaining guests or relaxing with family. Fully Equipped Kitchen: Modern kitchen with high-quality appliances, ample storage, and sleek cabinetry, ideal for culinary enthusiasts. Prime Location: Situated in the heart of Gulberg Greens, with easy access to parks, commercial areas, and major roads. World-Class Amenities: Enjoy access to state-of-the-art facilities, including: 24/7 security and CCTV surveillance Dedicated parking for residents Landscaped parks and green spaces Community center and social events Proximity to schools, hospitals, and shopping centers Investment Potential: This property is an excellent investment opportunity, with a high potential for appreciation in value and rental income. Why Buy in Gulberg Greens? Gated Community: Secure and safe living environment with controlled access. Scenic Views: Enjoy beautiful views of the surrounding landscape and picturesque parks. Lifestyle Amenities: Access to a range of amenities, including parks, jogging tracks, and community centers. Prime Location: Close proximity to major roads, schools, hospitals, and shopping centers. Don't Miss Out! This luxurious one-bedroom apartment in Gulberg Greens is the perfect blend of comfort, style, and investment potential. Contact us today to schedule a viewing and make this stunning property yours!",0,1.0,1.0,2.0,6.0,,,,0.21212121212121213,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
