,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Servant Quarters,Kitchens,Store Rooms,Storey Unit,Property era
0,D-12,12.0,7.0,10.0,6.0,10 MARLA LUXXARY BRAND NEW PARK FACE AVAILABLE FOR SALE WITH FOLLOWING ACCOMODATION 6 BEDROOM WITH ATTACH BATH 2 KITCHEN 2 D+D LOUNHG SERVENT QUARTER FRONT OPEN PARK FACE EXTRA LEND sonex and porta sanitary installed FOR MORE DETAILS PLZ CONTECT,False,False,False,False,0,2.0,2.0,1.0,2.0,Brand New (2025)
1,D-12,5.2,4.0,4.4,3.0,"4.44 Marla Single Unit Luxury corner House with Open View CDA Sector D-12/1, Islamabad Presenting a luxury single-unit home in the highly sought-after CDA Sector D-12/1 This property blends modern design with comfort, making it perfect for families or investors. Property Features: 3 spacious bedrooms with attached bathrooms Elegant drawing room and cozy lounge 1 modern kitchen with quality fittings Servant quarter for added convenience 3 car parking space Electricity and water bore available Currently rented at Rs. 135,000 per month, this home ensures a steady rental income alongside excellent value appreciation potential. Demand: Rs. 5,2500000 Location: CDA Sector D-12/1, Islamabad A perfect combination of luxury, location, and investment potentialenjoy the serene open view while living in one of Islamabads most prestigious sectors.",False,False,True,True,0,1.0,1.0,1.0,1.0,Brand New (2025)
2,D-12,4.3,5.0,4.4,3.0,"4.44 Marla Single Unit Luxury House with Open View CDA Sector D-12/4, Islamabad Presenting a luxury single-unit home in the highly sought-after CDA Sector D-12/4, offering an unobstructed open view and a prime residential setting. This property blends modern design with comfort, making it perfect for families or investors. Property Features: 3 spacious bedrooms with attached bathrooms Elegant drawing room and cozy lounge 1 modern kitchen with quality fittings Servant quarter for added convenience 1 car parking space Electricity and water bore available Currently rented at Rs. 135,000 per month, this home ensures a steady rental income alongside excellent value appreciation potential. Demand: Rs. 4,50,00,000 Location: CDA Sector D-12/4, Islamabad A perfect combination of luxury, location, and investment potentialenjoy the serene open view while living in one of Islamabads most prestigious sectors.",False,False,True,False,0,1.0,1.0,1.0,1.0,Brand New (2025)
3,D-12,5.75,6.0,5.0,5.0,"5 Marla Double Unit Front-Open 50 ft street House for Sale in CDA Sector D-12/1, Islamabad Discover this beautiful front-open 5 Marla double unit house in the prestigious CDA Sector D-12/1, offering an unobstructed open view and a prime location. This well-designed home features: 5 spacious bedrooms with attached bathrooms Elegant drawing room and comfortable lounge 2 fully equipped kitchens Servant quarter for added convenience 1 car parking space Complete utility connections: gas, electricity, and water bore The property is currently rented out for Rs. 160,000 per month, making it an excellent investment opportunity as well as a perfect family home. Demand: Rs. 5,75,00,000 Location: CDA Sector D-12/1, Islamabad Experience modern living in a serene environment with a clear, open viewideal for those who value comfort, style,",True,False,True,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
4,Bahria Enclave,2.7,4.0,5.0,3.0,"Brand-New Designer House for Sale in Bahria Enclave, Islamabad (Sector H) Experience modern luxury in this brand-new designer house, perfectly crafted for comfortable living. Spread over 5 marla with dimensions of 26x45, this house features: 3 Spacious Bedrooms each with attached baths. 2 Elegant TV Lounges for family gatherings. Main Kitchen plus a Dirty Kitchen on the ground floor, both fitted with high-quality, imported fixtures. Solid Woodwork and Imported Fittings throughout the house. Solid Doors and Glass Wardrobes adding elegance to every room. Beautiful Chandeliers and modern design elements that enhance the aesthetic appeal. The master bedroom boasts Dual Washbasins for added convenience. The kitchen is equipped with an Automatic Hood, and the house features premium Imported Tiles. A dedicated Washing Area ensures practicality. The rooftop includes a usable room, offering extra space for various needs. All of this is available at a demand of 2 crore 70 lakh PKR. For more details, contact Rana Ehtisham at View Contact Detail . Bahria Enclave offers a secure, well-planned environment with modern amenities, making it an ideal choice for comfortable living.",False,False,False,False,0,1.0,2.0,2.0,2.0,Brand New (2025)
5,FECHS,3.0,6.0,7.0,5.0,"Now We Found A Beautiful And Luxury House In Jinnah Garden For You In Very Reasonable Price. This House Is Located In Great Location. This House Has 6 Bathrooms And 5 Bedrooms. 7 Marla properties are best for investment as well as living purposes. House you've been looking for is available at the best price, so take action today. Let us help you in your search for a property in Islamabad. Looking to building a home in this city in the near future? Surely, there is no better location than Jinnah Gardens. For an affluent property, the price of Rs. 30000000 isn't much to ask. Buying this property will open up the options for you. You can either keep it as an investment or make the perfect home for your family. Be a proud owner of your own property today. For sound investment advice and options, call us!",False,False,False,False,0,2.0,1.0,1.0,2.0,Brand New (2025)
6,D-12,5.65,4.0,5.0,3.0,Size 25*50 Single unit house 3 beds with attach bath 1 drawing 2 lounge 1 kitchen 1 servant quarter 2 car parking 50 feet road Margalla facing Direct deal to allotted,False,False,False,False,1,,,,1.0,Brand New (2025)
10,Faisal Town Phase 1,2.7,4.0,5.0,4.0,"5 Marla FURNISHED HOUSE. Brand New House Available For Sale. In Faisal Town F-18 Block C Islamabad. House Dimension: 25*50. 4 Bedrooms. 4 Baths. 2 Drawing Dining. 2 TV Lounge. 2 Kitchen. 1 Car Parking Space. Near to Markaz. Near to Park. Near to Masjid. Electricity , Water and Available. Interested People Can Contact Easily. Faisal Town is a Good Society for Residence and Investment. Because Developed and Constructed Society. Masjid , Markaz , Bank , Schools , Hospital Available. Transparent Dealing. MBM Real Estate & Builders Interested People Can Contact Easily.",False,False,False,False,1,,2.0,,2.0,Brand New (2025)
11,G-13,3.65,4.0,4.0,4.0,*G-13* Islamabad G-13 Islamabad 25*40 Brand New House available for sale Tiles flooring Heighted location Beautiful constructed house Double Story House 4 Beds attached bath 2 Tv laundge Top flour servant room with attached bath 2 kitchen separate 1 Car parking space Bore available Demand 4.15 For more details,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
12,MPCHS - Multi Gardens,2.45,5.0,5.0,4.0,"5 Marla Double Unit House Available. For sale House b-17 Islamabd. House Size 30*60. Luxury house A+ construction Double Story. Double Unit. Near to masque 4 Bedrooms. 6 Baths. 2 Drawing Dining. 2 Kitchen. 2 Study Rooms. Mumty + Washroom. Car Parking Space. Gas, Water Available Water Bore. Double Unit Investor Rate Ideal Location. Reasonable Price. proper corner House B-17 is a Good Society for Residence. Because Neat and Clean. 24 Hours Security. All Basic and Necessary Facilities Available. Interested People Can Contact Easily.",False,False,True,True,0,,,,2.0,Established
